Protocol,Experiment,Run,Samples_N,Samples_N_eff,Vshunt_Mean_V,Vshunt_Median_V,Vshunt_Std_V,Vshunt_Max_V,Vshunt_Min_V,Vshunt_Combined_Uncert_V,Current_Mean_mA,Current_Median_mA,Current_Std_mA,Current_Max_mA,Current_Min_mA,Power_Mean_mW,Power_Std_mW,Power_Rel_Uncert_pct
wifi,byte,esp32_byte_by_byte_run30.csv,115493,479.3919715511,0.1129514185,0.1126010000,0.0033144956,0.1267620000,0.0948788000,0.0001517768,99.5550796804,99.2462276923,2.9213311643,111.7274542916,83.6262295255,499.8042313706,14.6661896293,0.1345604645
wifi,byte,esp32_byte_by_byte_run24.csv,119685,274.9236813815,0.1111634411,0.1115060000,0.0042120276,0.1208120000,0.0947449000,0.0002542601,97.9791915939,98.2811162505,3.7123982321,106.4832414347,83.5082127017,491.8926759152,18.6376461242,0.2288362267
wifi,byte,esp32_byte_by_byte_run26.csv,112205,327.2893072313,0.1124578702,0.1123810000,0.0036765750,0.1249350000,0.0949228000,0.0002035179,99.1200758833,99.0523240236,3.2404608337,110.1171724614,83.6650102593,497.6203474431,16.2683415197,0.1811114668
wifi,byte,esp32_byte_by_byte_run27.csv,113702,490.6282299030,0.1124413885,0.1120220000,0.0030271766,0.1257530000,0.0973395000,0.0001371011,99.1055492661,98.7359084916,2.6680938574,110.8381415567,85.7950420595,497.5474183191,13.3948423718,0.1221372362
wifi,byte,esp32_byte_by_byte_run16.csv,119359,448.1298742579,0.1126350850,0.1123460000,0.0036234472,0.1244290000,0.0948400000,0.0001715153,99.2762695608,99.0214757127,3.1936350370,109.6711940235,83.5920319694,498.4044989012,16.0332582735,0.1524402360
wifi,byte,esp32_byte_by_byte_run02.csv,129333,566.1901546171,0.1132992108,0.1130050000,0.0030890494,0.1263280000,0.0962713000,0.0001302839,99.8616169567,99.6023053383,2.7226273600,111.3449352362,84.8535516101,501.3431646753,13.6686212229,0.1152094244
wifi,byte,esp32_byte_by_byte_run03.csv,130333,620.2029572327,0.1135187127,0.1132770000,0.0028712380,0.1246910000,0.0988996000,0.0001158158,100.0550815642,99.8420407832,2.5306526676,109.9021156653,87.1700834843,502.3144303281,12.7048355085,0.1022696843
wifi,byte,esp32_byte_by_byte_run17.csv,118646,540.9347150691,0.1128497123,0.1125150000,0.0030793928,0.1253970000,0.0974225000,0.0001328528,99.4654378507,99.1704289854,2.7141162141,110.5243701656,85.8681966254,499.3541954114,13.6258920448,0.1179388066
wifi,byte,esp32_byte_by_byte_run29.csv,115203,414.7833858616,0.1131400379,0.1126560000,0.0034079976,0.1262720000,0.0949885000,0.0001676945,99.7213250940,99.2947036094,3.0037420195,111.2955779387,83.7229169458,500.6388463542,15.0799233561,0.1483881026
wifi,byte,esp32_byte_by_byte_run01.csv,124945,650.9652500574,0.1130381601,0.1128120000,0.0031225794,0.1230120000,0.0325912000,0.0001228763,99.6315320358,99.4321989381,2.7521800426,108.4222781213,28.7271651989,500.1880511702,13.8169868899,0.1089344107
wifi,byte,esp32_byte_by_byte_run15.csv,117990,491.7647962008,0.1131077890,0.1127000000,0.0031654180,0.1217370000,0.0949286000,0.0001431625,99.6929015138,99.3334843432,2.7899370786,107.2985182234,83.6701222651,500.4961492088,14.0065415206,0.1267702266
wifi,byte,esp32_byte_by_byte_run14.csv,120014,459.5738869270,0.1127057292,0.1124610000,0.0034225822,0.1274950000,0.0947269000,0.0001600265,99.3385339780,99.1228344486,3.0165965444,112.3735060604,83.4923478561,498.7170898741,15.1444579432,0.1421630525
wifi,byte,esp32_byte_by_byte_run28.csv,114586,493.7633473901,0.1128380565,0.1123660000,0.0030902282,0.1272690000,0.0968279000,0.0001394990,99.4551646272,99.0391033189,2.7236662999,112.1743141098,85.3441278918,499.3026199360,13.6738370948,0.1238308165
wifi,byte,esp32_byte_by_byte_run04.csv,130397,639.3623032196,0.1135461322,0.1132080000,0.0028659253,0.1263480000,0.0960473000,0.0001138743,100.0792485781,99.7812255417,2.5259701520,111.3625628424,84.6561224202,502.4357578971,12.6813275058,0.1005393860
wifi,byte,esp32_byte_by_byte_run10.csv,118643,385.7860187274,0.1124860124,0.1123880000,0.0033209632,0.1245060000,0.0948846000,0.0001694313,99.1448798864,99.0584936858,2.9270315888,109.7390603076,83.6313415313,497.7448729394,14.6948079208,0.1507911860
wifi,byte,esp32_byte_by_byte_run11.csv,121489,466.6947674262,0.1124538513,0.1123240000,0.0032775711,0.1260550000,0.0947737000,0.0001521094,99.1165337688,99.0020853458,2.8887866359,111.1043184110,83.5335964547,497.6025646855,14.5028037621,0.1354495633
wifi,byte,esp32_byte_by_byte_run05.csv,124999,632.3960472020,0.1132142994,0.1129070000,0.0028446431,0.1229550000,0.0990963000,0.0001136491,99.7867777258,99.5159300678,2.5072124193,108.3720394435,87.3434509917,500.9674433720,12.5871565783,0.1006342075
wifi,byte,esp32_byte_by_byte_run13.csv,120150,474.6735287564,0.1131017595,0.1126860000,0.0030541579,0.1245490000,0.0975094000,0.0001406105,99.6875872381,99.3211450188,2.6918746300,109.7769596610,85.9447885745,500.4694695310,13.5142308629,0.1245241720
wifi,byte,esp32_byte_by_byte_run07.csv,121949,569.6739369622,0.1127470261,0.1124640000,0.0029471901,0.1254510000,0.1018170000,0.0001239627,99.3749322373,99.1254785895,2.5975952964,110.5719647025,89.7414224068,498.8998229303,13.0409128765,0.1101760877
wifi,byte,esp32_byte_by_byte_run06.csv,126005,606.6103160718,0.1132484715,0.1129790000,0.0029562054,0.1273740000,0.0948736000,0.0001205278,99.8168963519,99.5793894502,2.6055412658,112.2668590426,83.6216463479,501.1186502901,13.0808046546,0.1066636851
wifi,byte,esp32_byte_by_byte_run12.csv,123414,338.4689773082,0.1132562318,0.1132060000,0.0038212219,0.1250080000,0.0950057000,0.0002079927,99.8237361173,99.7794627811,3.3679497786,110.1815132242,83.7380766871,501.1529885049,16.9083843415,0.1837847731
wifi,all,esp32_full_payload_run28.csv,13417,42.3185248296,0.1068600145,0.1081411000,0.0038556443,0.1141944000,0.0961047100,0.0005927883,94.1862360989,95.3153596384,3.3982889903,100.6506190815,84.7067224639,472.8506017999,17.0606986829,0.5547787970
wifi,all,esp32_full_payload_run14.csv,13104,53.3866157918,0.1069034605,0.1079927000,0.0035817584,0.1165261000,0.0959358400,0.0004903198,94.2245285435,95.1845628001,3.1568913268,102.7057335552,84.5578837706,473.0428443846,15.8487909224,0.4587114092
wifi,all,esp32_full_payload_run15.csv,13970,45.6436661025,0.1063662058,0.1082081000,0.0044188333,0.1173058000,0.0960711000,0.0006541430,93.7510028745,95.3744121193,3.8946726371,103.3929457845,84.6770992716,470.6655660602,19.5527327190,0.6150322830
wifi,all,esp32_full_payload_run01.csv,11972,115.7550235011,0.1078609804,0.1077110000,0.0019563618,0.1151709000,0.0967443000,0.0001821420,95.0684677233,94.9362779662,1.7242987487,101.5112869563,85.2704444977,477.2797389203,8.6566332278,0.1690161949
