timestamp,V_shunt,experiment_start
2026-03-24T16:36:08.761853,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.766084,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.769400,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.776011,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.780939,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.784078,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.787987,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.796227,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.799572,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.803610,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.807392,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.811763,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.815894,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.819164,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.823085,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.826965,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.830598,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.837090,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.841494,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.848851,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.852721,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.856655,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.860864,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.865809,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.869671,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.873503,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.878399,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.883485,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.886758,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.897160,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.901313,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.904435,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.908200,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.912028,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.916051,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.919201,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.922910,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.926725,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.929922,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.933669,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.937414,6.51640000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.944596,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.952236,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.956359,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.959509,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.963433,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.967196,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.971386,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.974522,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.978397,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.982224,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.986352,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.992741,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.996889,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.000270,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.003894,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.010659,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.013800,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.017541,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.021655,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.025707,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.028898,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.032608,6.51721000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.040117,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.044008,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.047901,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.051723,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.054941,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.058877,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.062806,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.069258,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.073173,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.077053,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.080585,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.084164,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.088065,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.095498,6.51975000E-02,2026-03-24T16:36:06.296566
